Timestamp,"Please confirm the following before proceeding with the survey:
Please tick all of the above boxes to continue to the questionnaire.",What is your age?,Gender,Highest Level of Education,How often do you use online banking?,Which online banking platform do you use most frequently?,I can recognise phishing emails pretending to be from a bank,I know that legitimate banks never ask customers to share OTPs or passwords.,I understand how Multi-Factor Authentication (MFA) protects online banking accounts,I know how to verify that a banking website is genuine before entering my login credentials.,I understand the risks of using public Wi-Fi for online banking.,I am aware of AI-generated scams and deepfake fraud targeting banking customers.,I know what actions to take if I suspect my online banking account has been compromised.,Have you ever received a phishing email pretending to be from a bank?,Have you ever received a suspicious SMS claiming to be from a bank?,Have you ever received a phone call claiming to be from your bank asking for personal information?,Have you ever clicked on a suspicious banking link?,Have you ever experienced online banking fraud?,"If yes, how did you identify or respond to the phishing attempt?
(Select all that apply)","You receive an email claiming your bank account will be suspended unless you click a link immediately.
What would you do?","Someone claiming to be from your bank asks for your OTP to verify your identity.
What would you do?","You receive a security alert saying someone logged into your account from another device.
What is your first action?","You receive a voice call that sounds exactly like your bank manager asking you to urgently approve a transaction.
What would you do?",Multi-Factor Authentication (MFA) improves online banking security.,Biometric authentication (Face ID/Fingerprint) provides better protection than passwords alone.,Bank security alerts help prevent cyberattacks.,Current front-end security measures provide adequate protection against emerging cyber threats.,AI-based fraud detection systems improve online banking security.,I use a unique password for my online banking account.,I enable Multi-Factor Authentication whenever it is available.,I regularly update my banking application.,I verify website authenticity before entering my banking credentials.,"I understand how biometric authentication (e.g., Face ID or fingerprint recognition) works when I log in to my online banking account.","I understand how my biometric data (e.g., Face ID or fingerprint) is stored and protected when I use biometric authentication for online banking.",I am concerned about the privacy risks associated with using biometric authentication for online banking.,I trust that my biometric data is securely protected when I use biometric authentication for online banking.,Banks should provide clearer information about how biometric data is used and protected when customers use biometric authentication for online banking.,Concerns about biometric privacy would affect my willingness to use biometric authentication for online banking.,Which biometric authentication method do you currently use for online banking?,"In your opinion, what is the biggest concern when using biometric authentication for online banking?"
03/07/2026 22:45:15,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Female,Master's Degree,Weekly,Both equally,2,1,2,3,2,2,2,Yes,No,No,Yes,Yes,"I noticed suspicious links or website URLs., The sender's email address looked suspicious., My bank warned me about similar scams.",Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,2,2,2,Rarely,Rarely,Sometimes,Sometimes,3,2,2,2,2,2,"Face ID / Facial Recognition, Fingerprint Recognition",Risk of biometric data being stolen
04/07/2026 09:47:05,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Male,Secondary School,Daily,Internet Banking Website,1,1,1,1,1,1,1,No,Yes,No,No,No,,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,1,5,2,Always,Always,Always,Always,1,3,3,3,1,1,Fingerprint Recognition,"Privacy of biometric data, Risk of biometric data being stolen"
04/07/2026 10:18:23,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Female,Diploma,Daily,Mobile Banking App,1,1,1,1,1,1,1,No,No,No,No,No,,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,1,1,1,Rarely,Always,Always,Sometimes,1,2,1,2,1,1,Face ID / Facial Recognition,Accuracy of biometric authentication
04/07/2026 10:34:06,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Male,Bachelor's Degree,Weekly,Mobile Banking App,3,1,1,1,3,3,3,No,Yes,No,No,Yes,I noticed suspicious links or website URLs.,Click the link immediately,End the call and contact the bank through official channels,Ignore it,Approve the transaction,2,3,3,4,2,Rarely,Rarely,Rarely,Rarely,2,3,4,3,3,1,Face ID / Facial Recognition,I have no concerns
04/07/2026 10:43:17,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Female,Master's Degree,Daily,Mobile Banking App,1,1,1,2,1,2,1,No,Yes,No,No,Yes,"My bank warned me about similar scams., I reported it to my bank.",Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,2,2,2,Always,Always,Always,Always,1,1,2,1,2,2,Face ID / Facial Recognition,Accuracy of biometric authentication
04/07/2026 10:45:46,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Male,Bachelor's Degree,Daily,Mobile Banking App,2,1,3,3,1,2,2,Yes,No,No,No,No,"I noticed suspicious links or website URLs., The email contained spelling or grammar mistakes., The sender's email address looked suspicious., The message requested sensitive information (passwords, PINs, OTPs).",Verify the request using the bank's official website or customer service,Ignore the request but continue the conversation,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,1,1,1,Always,Always,Always,Always,2,3,2,3,3,3,"Face ID / Facial Recognition, Fingerprint Recognition, Voice Recognition","Privacy of biometric data, Risk of biometric data being stolen, Lack of understanding of how biometric data is used"
04/07/2026 11:20:41,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Female,Bachelor's Degree,Weekly,Mobile Banking App,2,1,2,3,2,2,3,No,No,No,No,Yes,I reported it to my bank.,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,2,2,2,Always,Sometimes,Rarely,Sometimes,2,2,2,2,2,2,I do not use biometric authentication,I have no concerns
04/07/2026 11:33:10,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",55+,Female,Grammer School,Weekly,Mobile Banking App,3,1,3,3,1,1,1,Yes,No,No,Not Sure,Yes,I reported it to my bank.,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,2,2,3,Always,Rarely,Sometimes,Always,1,2,3,1,1,2,I do not use biometric authentication,Lack of understanding of how biometric data is used
04/07/2026 11:35:12,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Male,Master's Degree,Daily,Mobile Banking App,5,1,1,1,1,1,1,Yes,Yes,No,No,Yes,"I noticed suspicious links or website URLs., The email contained spelling or grammar mistakes., The message requested sensitive information (passwords, PINs, OTPs)., My bank warned me about similar scams., I reported it to my bank.",Ignore it completely,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,3,3,2,2,3,Always,Always,Always,Always,2,4,3,3,1,3,"Face ID / Facial Recognition, Fingerprint Recognition","Privacy of biometric data, Risk of biometric data being stolen, Lack of understanding of how biometric data is used, Accuracy of biometric authentication"
04/07/2026 13:11:47,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Female,College/Sixth Form (A-levels),Weekly,Mobile Banking App,2,1,2,2,3,1,2,No,Yes,No,No,No,"I noticed suspicious links or website URLs., The message requested sensitive information (passwords, PINs, OTPs)., My bank warned me about similar scams.",Ignore it completely,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,4,2,2,1,Sometimes,Always,Rarely,Always,1,2,4,1,3,3,Face ID / Facial Recognition,"Risk of biometric data being stolen, Accuracy of biometric authentication"
