Timestamp,Consent,Age,Gender,Education,Banking_Use,Platform,Aware_Phishing,Aware_OTP,Aware_MFA,Aware_Website,Aware_PublicWiFi,Aware_AI,Aware_Response,Exp_Phishing_Email,Exp_Phishing_SMS,Exp_Phishing_Call,Clicked_Suspicious_Link,Experienced_Fraud,Fraud_Response,Scenario_Email,Scenario_OTP,Scenario_Login_Alert,Scenario_Deepfake_Call,Opinion_MFA,Opinion_Biometrics,Opinion_Alerts,Opinion_FrontEnd,Opinion_AI,Behaviour_UniquePassword,Behaviour_UseMFA,Behaviour_UpdateApp,Behaviour_VerifyWebsite,Bio_Understand,Bio_DataProtection,Bio_PrivacyConcern,Bio_Trust,Bio_ClearInfo,Bio_Willingness,Biometric_Method,Biggest_Concern,Awareness_Score,Awareness_Level,Opinion_Score,Behaviour_Score,Behaviour_Level,Biometric_Score,Biometric_Level
7/3/2026 22:45:15,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Female,Master's Degree,Weekly,Both equally,2,1,2,3,2,2,2,Yes,No,No,Yes,Yes,"I noticed suspicious links or website URLs., The sender's email address looked suspicious., My bank warned me about similar scams.",Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,2,2,2,4,4,3,3,3,2,2,2,2,2,"Face ID / Facial Recognition, Fingerprint Recognition",Risk of biometric data being stolen,2.0,High Awareness,2.0,3.5,Poor Practice,2.1666666666666665,Moderate Understanding
7/4/2026 9:47:05,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Male,Secondary School,Daily,Internet Banking Website,1,1,1,1,1,1,1,No,Yes,No,No,No,Not Applicable,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,1,5,2,1,1,1,1,1,3,3,3,1,1,Fingerprint Recognition,"Privacy of biometric data, Risk of biometric data being stolen",1.0,High Awareness,2.0,1.0,Good Practice,2.0,High Understanding
7/4/2026 10:18:23,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Female,Diploma,Daily,Mobile Banking App,1,1,1,1,1,1,1,No,No,No,No,No,Not Applicable,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,1,1,1,4,1,1,3,1,2,1,2,1,1,Face ID / Facial Recognition,Accuracy of biometric authentication,1.0,High Awareness,1.0,2.25,Moderate Practice,1.3333333333333333,High Understanding
7/4/2026 10:34:06,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Male,Bachelor's Degree,Weekly,Mobile Banking App,3,1,1,1,3,3,3,No,Yes,No,No,Yes,I noticed suspicious links or website URLs.,Click the link immediately,End the call and contact the bank through official channels,Ignore it,Approve the transaction,2,3,3,4,2,4,4,4,4,2,3,4,3,3,1,Face ID / Facial Recognition,I have no concerns,2.142857142857143,Moderate Awareness,2.8,4.0,Poor Practice,2.6666666666666665,Moderate Understanding
7/4/2026 10:43:17,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Female,Master's Degree,Daily,Mobile Banking App,1,1,1,2,1,2,1,No,Yes,No,No,Yes,"My bank warned me about similar scams., I reported it to my bank.",Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,Face ID / Facial Recognition,Accuracy of biometric authentication,1.2857142857142858,High Awareness,1.6,1.0,Good Practice,1.5,High Understanding
7/4/2026 10:45:46,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Male,Bachelor's Degree,Daily,Mobile Banking App,2,1,3,3,1,2,2,Yes,No,No,No,No,"I noticed suspicious links or website URLs., The email contained spelling or grammar mistakes., The sender's email address looked suspicious., The message requested sensitive information (passwords, PINs, OTPs).",Verify the request using the bank's official website or customer service,Ignore the request but continue the conversation,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,1,1,1,1,1,1,1,2,3,2,3,3,3,"Face ID / Facial Recognition, Fingerprint Recognition, Voice Recognition","Privacy of biometric data, Risk of biometric data being stolen, Lack of understanding of how biometric data is used",2.0,High Awareness,1.0,1.0,Good Practice,2.6666666666666665,Moderate Understanding
7/4/2026 11:20:41,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Female,Bachelor's Degree,Weekly,Mobile Banking App,2,1,2,3,2,2,3,No,No,No,No,Yes,I reported it to my bank.,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,2,2,2,1,3,4,3,2,2,2,2,2,2,I do not use biometric authentication,I have no concerns,2.142857142857143,Moderate Awareness,2.0,2.75,Moderate Practice,2.0,High Understanding
7/4/2026 11:33:10,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",55+,Female,Grammer School,Weekly,Mobile Banking App,3,1,3,3,1,1,1,Yes,No,No,Not Sure,Yes,I reported it to my bank.,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,2,2,3,1,4,3,1,1,2,3,1,1,2,I do not use biometric authentication,Lack of understanding of how biometric data is used,1.8571428571428572,High Awareness,2.2,2.25,Moderate Practice,1.6666666666666667,High Understanding
7/4/2026 11:35:12,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Male,Master's Degree,Daily,Mobile Banking App,5,1,1,1,1,1,1,Yes,Yes,No,No,Yes,"I noticed suspicious links or website URLs., The email contained spelling or grammar mistakes., The message requested sensitive information (passwords, PINs, OTPs)., My bank warned me about similar scams., I reported it to my bank.",Ignore it completely,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,3,3,2,2,3,1,1,1,1,2,4,3,3,1,3,"Face ID / Facial Recognition, Fingerprint Recognition","Privacy of biometric data, Risk of biometric data being stolen, Lack of understanding of how biometric data is used, Accuracy of biometric authentication",1.5714285714285714,High Awareness,2.6,1.0,Good Practice,2.6666666666666665,Moderate Understanding
7/4/2026 13:11:47,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Female,College/Sixth Form (A-levels),Weekly,Mobile Banking App,2,1,2,2,3,1,2,No,Yes,No,No,No,"I noticed suspicious links or website URLs., The message requested sensitive information (passwords, PINs, OTPs)., My bank warned me about similar scams.",Ignore it completely,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,4,2,2,1,3,1,4,1,1,2,4,1,3,3,Face ID / Facial Recognition,"Risk of biometric data being stolen, Accuracy of biometric authentication",1.8571428571428572,High Awareness,2.0,2.25,Moderate Practice,2.3333333333333335,Moderate Understanding
7/4/2026 13:29:26,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",45-54,Male,Master's Degree,Daily,Mobile Banking App,2,4,2,2,2,2,1,Yes,Yes,Not Sure,Not Sure,No,Not Applicable,Ignore it completely,End the call and contact the bank through official channels,Wait to see if it happens again,End the call without checking,1,2,2,3,2,1,1,1,1,1,3,1,2,1,2,Fingerprint Recognition,"Privacy of biometric data, Risk of biometric data being stolen, Lack of understanding of how biometric data is used",2.142857142857143,Moderate Awareness,2.0,1.0,Good Practice,1.6666666666666667,High Understanding
7/4/2026 14:02:21,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",55+,Female,Master's Degree,Monthly,Internet Banking Website,2,1,1,2,1,2,1,No,Yes,Yes,Yes,No,Not Applicable,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,2,4,3,1,3,3,4,1,3,2,2,3,2,Password online banking. Yet to set up app on all device,Risk of biometric data being stolen,1.4285714285714286,High Awareness,2.2,2.75,Moderate Practice,2.1666666666666665,Moderate Understanding
7/4/2026 16:25:28,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Male,Master's Degree,Weekly,Both equally,1,1,1,1,1,1,1,Yes,Yes,No,No,No,Not Applicable,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,"Face ID / Facial Recognition, Fingerprint Recognition","Privacy of biometric data, Risk of biometric data being stolen",1.0,High Awareness,1.4,1.0,Good Practice,1.3333333333333333,High Understanding
7/4/2026 17:29:58,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Female,Diploma,Weekly,Both equally,1,1,1,1,1,1,1,Not Sure,Not Sure,Not Sure,Not Sure,No,I noticed suspicious links or website URLs.,Ignore it completely,Ask why it is needed,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,1,1,2,3,5,3,5,2,2,1,2,2,2,Face ID / Facial Recognition,"Risk of biometric data being stolen, ",1.0,High Awareness,1.6,4.0,Poor Practice,1.8333333333333333,High Understanding
7/4/2026 17:48:30,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",25–34,Female,Master's Degree,Daily,Mobile Banking App,1,1,1,1,1,1,1,Yes,Yes,Yes,Yes,Yes,I noticed suspicious links or website URLs.,Ignore it completely,Ask why it is needed,Ignore it,End the call without checking,1,1,1,1,1,5,5,5,5,2,1,1,1,1,1,Face ID / Facial Recognition,Privacy of biometric data,1.0,High Awareness,1.0,5.0,Poor Practice,1.1666666666666667,High Understanding
7/4/2026 18:34:34,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",35-44,Female,Diploma,Daily,Mobile Banking App,2,1,1,3,1,1,1,Not Sure,No,Yes,No,No,"I noticed suspicious links or website URLs., The email contained spelling or grammar mistakes., The sender's email address looked suspicious., I reported it to my bank.",Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,1,2,2,1,1,3,1,2,2,2,2,2,2,"Face ID / Facial Recognition, Voice Recognition",Accuracy of biometric authentication,1.4285714285714286,High Awareness,1.8,1.5,Good Practice,2.0,High Understanding
7/4/2026 18:44:20,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",55+,Male,Master's Degree,Daily,Both equally,5,5,5,5,5,5,5,Yes,Yes,No,No,No,Not Applicable,Ignore it completely,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,5,5,4,4,4,1,1,4,1,5,5,5,5,5,3,Fingerprint Recognition,I have no concerns,5.0,Low Awareness,4.4,1.75,Good Practice,4.666666666666667,Low Understanding
7/4/2026 18:48:20,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",45-54,Male,Diploma,Weekly,Mobile Banking App,2,1,1,1,1,2,2,No,No,No,No,No,Not Applicable,Verify the request using the bank's official website or customer service,End the call and contact the bank through official channels,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,1,1,1,3,3,1,1,1,1,1,1,1,1,1,2,Fingerprint Recognition,Risk of biometric data being stolen,1.4285714285714286,High Awareness,1.8,1.0,Good Practice,1.1666666666666667,High Understanding
7/4/2026 19:00:41,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Male,Bachelor's Degree,Daily,Mobile Banking App,2,1,2,1,2,3,2,No,Not Sure,No,No,No,"I noticed suspicious links or website URLs., The sender's email address looked suspicious., My bank warned me about similar scams., I ignored and deleted the email.",Verify the request using the bank's official website or customer service,Ignore the request but continue the conversation,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,2,2,2,3,3,4,1,1,1,2,4,4,1,2,3,Face ID / Facial Recognition,"Privacy of biometric data, Risk of biometric data being stolen",1.8571428571428572,High Awareness,2.4,1.75,Good Practice,2.6666666666666665,Moderate Understanding
7/4/2026 19:10:00,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Male,Bachelor's Degree,Weekly,Mobile Banking App,5,4,5,5,5,5,5,Not Sure,Not Sure,Not Sure,Not Sure,No,I was unsure whether it was a phishing attempt.,Click the link immediately,Share the OTP,Change your password immediately and contact the bank,End the call without checking,1,1,2,2,3,4,4,4,4,5,5,5,5,1,1,Face ID / Facial Recognition,"Risk of biometric data being stolen, Lack of understanding of how biometric data is used",4.857142857142857,Low Awareness,1.8,4.0,Poor Practice,3.6666666666666665,Low Understanding
7/4/2026 19:14:02,"I have read and understood the information provided about this research study., I understand that my participation is entirely voluntary, and I am free to stop completing the survey at any time before submitting my responses., I voluntarily agree to participate in this research study and provide my informed consent.",18-24,Male,Bachelor's Degree,Rarely,Mobile Banking App,2,4,1,3,5,5,4,No,No,No,No,No,Not Applicable,Verify the request using the bank's official website or customer service,Ask why it is needed,Change your password immediately and contact the bank,Verify the request using the bank's official contact details,4,5,2,4,3,3,3,5,5,2,2,4,4,2,2,Fingerprint Recognition,Privacy of biometric data,3.4285714285714284,Low Awareness,3.6,4.0,Poor Practice,2.6666666666666665,Moderate Understanding
